id,epic,title_th,title_en,priority,phase,group,legal_ref,actors,be_size,fe_size,ux,be_days,fe_days,sa_days,ux_days,qa_days,depends_on,processes,module_doc,acceptance_criteria,status
PLT-01,PLT,โครงระบบ Go modular monolith + Next.js monorepo,Solution skeleton,Must,P0,PLT,,,L,M,N,10,5,1.8,0,5.2,"T04, T05",,docs/modules/PLT.md#plt-01,สร้างโมดูลใหม่จาก template ได้ภายใน 1 วัน; แก้ OpenAPI แล้ว Go stub และ TS client generate ใน CI,todo
PLT-02,PLT,Multi-tenant และการแยกข้อมูล,Multi-tenancy & isolation,Must,P0,PLT,,,L,S,N,10,3,1.6,0,4.5,PLT-01,,docs/modules/PLT.md#plt-02,ผู้ใช้ tenant A เข้าถึงข้อมูล tenant B ไม่ได้แม้เรียก API ตรง (automated test ทุก endpoint),todo
PLT-03,PLT,ระบบหลายภาษา TH/EN,Localization (i18n),Must,P0,PLT,,EMP,S,M,N,3,5,1.0,0,2.8,PLT-01,,docs/modules/PLT.md#plt-03,ทุกหน้าสลับ TH/EN ได้ และวันที่แสดง พ.ศ. ตามการตั้งค่า,todo
PLT-04,PLT,บริการแจ้งเตือน Email / SMS / LINE / In-app,Notification service,Must,P0,PLT,,ORGADMIN,L,M,Y,10,5,1.8,2.0,5.2,PLT-10,,docs/modules/PLT.md#plt-04,ส่งล้มเหลวมี retry อัตโนมัติ และตรวจสถานะรายข้อความได้,done
PLT-05,PLT,Workflow & SLA engine,Workflow / SLA engine,Must,P0,PLT,,ORGADMIN DPO,XL,M,Y,20,5,3.0,2.0,8.8,"PLT-10, ORG-20",,docs/modules/PLT.md#plt-05,นับ SLA ถูกต้องเมื่อข้ามวันหยุด และแจ้งเตือนก่อนครบกำหนดตามที่ตั้ง (unit test ครอบคลุมกรณีข้ามวันหยุด),done
PLT-06,PLT,Form & assessment engine,Dynamic form & assessment engine,Must,P0,PLT,,DPO,L,XL,Y,10,20,3.6,8.0,10.5,PLT-01,,docs/modules/PLT.md#plt-06,สร้างแบบประเมินที่มีเงื่อนไขซ่อน/แสดงและคิดคะแนนได้โดยไม่เขียนโค้ด; ทุกโมดูลใช้ renderer เดียวกัน,done
PLT-07,PLT,ความเห็น ไฟล์แนบ และไทม์ไลน์กิจกรรม,Collaboration components,Must,P0,PLT,,EMP,M,M,Y,5,5,1.2,2.0,3.5,"PLT-09, PLT-12",,docs/modules/PLT.md#plt-07,ทุกโมดูลใช้ component เดียวกัน และการ mention ส่งแจ้งเตือน,done
PLT-08,PLT,เวอร์ชันและการอนุมัติ,Versioning & approval framework,Must,P0,PLT,,EMP DPO,M,M,Y,5,5,1.2,2.0,3.5,"PLT-05, PLT-07",,docs/modules/PLT.md#plt-08,record ที่เผยแพร่แล้วแก้ไม่ได้ต้องสร้างเวอร์ชันใหม่; ผู้สร้างอนุมัติงานของตนเองไม่ได้,done
PLT-09,PLT,จัดเก็บไฟล์และสแกนไวรัส,File storage & AV scan,Must,P0,PLT,,,M,S,N,5,3,1.0,0,2.8,PLT-01,,docs/modules/PLT.md#plt-09,ไฟล์ติดไวรัสถูกปฏิเสธ และลิงก์ดาวน์โหลดหมดอายุตามเวลาที่ตั้ง,done
PLT-10,PLT,Background jobs และ scheduler,Job queue & scheduler,Must,P0,PLT,,SUPER ORGADMIN,M,S,N,5,3,1.0,0,2.8,PLT-01,,docs/modules/PLT.md#plt-10,job ที่ล้มเหลวมี retry และแจ้งเตือน; ไม่มี job ซ้ำเมื่อรันหลาย instance,done
PLT-11,PLT,Domain events และ outbox,Domain events & outbox,Must,P0,PLT,,,M,-,N,5,0,0.6,0,1.8,PLT-10,,docs/modules/PLT.md#plt-11,event ไม่สูญหายเมื่อระบบล่มกลางคัน (at-least-once + idempotent consumer),done
PLT-12,PLT,โครงสร้าง Audit log,Tamper-evident audit log,Must,P0,PLT,,,M,-,N,5,0,0.6,0,1.8,PLT-01,,docs/modules/PLT.md#plt-12,แก้ log ย้อนหลังแล้วการตรวจ hash chain ล้มเหลว,done
PLT-13,PLT,เข้ารหัสข้อมูลส่วนบุคคลระดับฟิลด์,PII encryption & key management,Must,P0,PLT,,,M,-,N,5,0,0.6,0,1.8,PLT-01,,docs/modules/PLT.md#plt-13,identifier ในฐานข้อมูลอ่านไม่ออกถ้าไม่มี key แต่ยังค้นหาแบบตรงตัวได้,done
PLT-14,PLT,Import framework (Excel / CSV),Bulk import framework,Must,P0,PLT,,ORGADMIN DPO,M,M,Y,5,5,1.2,2.0,3.5,PLT-10,,docs/modules/PLT.md#plt-14,"นำเข้า 50,000 แถวได้ และได้ไฟล์รายงานแถวที่ผิดพร้อมเหตุผล",done
PLT-15,PLT,"Public API, webhook และ developer portal",Public API & webhooks,Must,P0,PLT,,IT APICLIENT,M,S,N,5,3,1.0,0,2.8,"ORG-16, PLT-11",,docs/modules/PLT.md#plt-15,client เกิน rate limit ได้ 429; webhook ที่ล้มเหลวถูกส่งซ้ำตามนโยบาย,todo
PLT-16,PLT,Document composer (template + clause + merge field),Document composer,Must,P1,PLT,,DPO,L,L,Y,10,10,2.4,4.0,7.0,"PLT-06, PLT-08",,docs/modules/PLT.md#plt-16,เอกสารภาษาไทยส่งออก PDF / Word ได้ตัวอักษรถูกต้อง และเปรียบเทียบสองเวอร์ชันได้,done
PLT-17,PLT,Public portal framework,Public portal framework,Must,P1,PLT,,ORGADMIN,M,L,Y,5,10,1.8,4.0,5.2,"PLT-02, IAM-05",,docs/modules/PLT.md#plt-17,หน้า portal หลักผ่านการตรวจ accessibility ระดับ AA และโหลดเสร็จภายใน 2 วินาทีบน 4G,todo
PLT-18,PLT,Dashboard & report framework,Reporting framework,Must,P1,PLT,,EMP,L,L,Y,10,10,2.4,4.0,7.0,"PLT-10, IAM-02",,docs/modules/PLT.md#plt-18,"export 100,000 แถวแบบ async และแจ้งเมื่อไฟล์พร้อม; ตัวเลขตรงกับข้อมูลที่ผู้ใช้มีสิทธิ์เห็น",todo
PLT-19,PLT,Observability,Observability,Should,P1,PLT,,,S,S,N,3,3,0.7,0,2.1,PLT-01,,docs/modules/PLT.md#plt-19,มี dashboard สุขภาพระบบ และแจ้งเตือนเมื่อ error rate หรือ latency เกินเกณฑ์,todo
PLT-20,PLT,Connector framework,Connector framework,Should,P3,PLT,,IT,L,M,Y,10,5,1.8,2.0,5.2,PLT-11,,docs/modules/PLT.md#plt-20,เพิ่ม connector ใหม่ได้โดยไม่แก้โมดูลหลัก และทดสอบการเชื่อมต่อจากหน้าจอได้,todo
